INCIDENT_NUMBER,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,DAY_OF_WEEK,HOUR,Lat,Long
232053229,,SICK ASSIST,B3,Thursday ,18,42.29095803799097,-71.07168599246941
232053206,,SICK ASSIST - DRUG RELATED ILLNESS,D4,Thursday ,0,42.331829609145,-71.0734727352688
232053478,,M/V ACCIDENT - OTHER,A1,Friday   ,20,42.36183856656471,-71.05976489094158
232053436,,VANDALISM,D14,Sunday   ,20,42.36053147482125,-71.13644288576312
262000008,,INVESTIGATE PROPERTY,C11,Thursday ,0,42.30524412086677,-71.07483800232032
252109747,,INVESTIGATE PERSON,E18,Thursday ,0,42.25621592040215,-71.12401947329023
262000019,,PROPERTY - FOUND,A1,Thursday ,1,42.360289179952886,-71.05692330187595
252109618,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,D4,Tuesday  ,20,42.33520568608692,-71.07110314521104
252109789,,ASSAULT - SIMPLE,D4,Wednesday,0,42.342690966223934,-71.0848180455041
252109485,,LARCENY THEFT FROM BUILDING,B2,Tuesday  ,1,42.33254137676263,-71.09539131611176
252109657,,INVESTIGATE PROPERTY,D4,Tuesday  ,23,42.33898332865662,-71.07748706167702
242023252,,LARCENY THEFT FROM BUILDING,B3,Friday   ,0,42.28482576580487,-71.09137368938802
242023483,,ASSAULT - AGGRAVATED,E5,Saturday ,0,42.2942278610708,-71.13609870869179
242023506,,SICK ASSIST,A1,Saturday ,2,42.35545000468117,-71.0604999980487
242023435,,SICK ASSIST,A1,Friday   ,18,42.36063385712705,-71.0700524705507
242023290,,INVESTIGATE PERSON,E13,Thursday ,0,42.31477552020215,-71.09705119413007
242023411,,INVESTIGATE PERSON,D14,Friday   ,18,42.35116802421847,-71.13144796377382
242023469,,INVESTIGATE PERSON,D14,Friday   ,21,42.34822741305731,-71.14075262166958
242023509,,M/V ACCIDENT - PROPERTY DAMAGE,D4,Saturday ,2,42.33733298842377,-71.07807400722
242023459,,INVESTIGATE PERSON,B2,Friday   ,19,42.32576899275443,-71.07245871216831
242023735,,SICK ASSIST,B2,Sunday   ,0,42.32576899275443,-71.07245871216831
242023760,,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,Sunday   ,2,42.2922212954015,-71.07467072678747
242023707,,VAL - VIOLATION OF AUTO LAW,D14,Saturday ,21,42.35085371116754,-71.13125747198826
242023759,,M/V ACCIDENT - PROPERTY DAMAGE,D4,Sunday   ,2,42.337894491403766,-71.09306889169264
242023492,,TOWED MOTOR VEHICLE,A1,Saturday ,0,42.351031045929325,-71.06373331020067
242023697,,THREATS TO DO BODILY HARM,D4,Saturday ,21,42.350378699776456,-71.07626098382806
242023535,,INVESTIGATE PROPERTY,B3,Saturday ,0,42.28482576580487,-71.09137368938802
242023484,,LARCENY SHOPLIFTING,B3,Friday   ,23,42.28582356051367,-71.09104328088189
242023673,,SICK ASSIST,D14,Saturday ,18,42.3466954208237,-71.16848513706617
242023708,,SICK ASSIST,B2,Saturday ,22,42.33487308948349,-71.08504594781867
242023719,,INVESTIGATE PERSON,E5,Saturday ,22,42.28437002705059,-71.13407000904901
242023698,,SICK/INJURED/MEDICAL - PERSON,D4,Saturday ,21,42.33520568608692,-71.07110314521104
242023685,,INVESTIGATE PERSON,A1,Saturday ,20,42.35791113045011,-71.05530266716919
